gml_id,kachel,kachelbezeichnung_dop20_ab_2015,kachelbezeichnung_dop20_bis_2014,geometry
APP_LGV_KACHEL_DOP20_1KM_UTM_38,5138,dop20rgb_32551_5938_1_hh_JAHR ,dop20c_32551_5938   ,"POLYGON ((9.770463445560418 53.58836051113295, 9.770626970938295 53.59734822893324, 9.785735757073097 53.59724997345462, 9.785569026439433 53.58826228771738, 9.770463445560418 53.58836051113295))"
APP_LGV_KACHEL_DOP20_1KM_UTM_39,5139,dop20rgb_32551_5939_1_hh_JAHR ,dop20c_32551_5939   ,"POLYGON ((9.770626970938295 53.59734822893324, 9.770790584667743 53.60633593280534, 9.785902577789596 53.6062376452501, 9.785735757073097 53.59724997345462, 9.770626970938295 53.59734822893324))"
APP_LGV_KACHEL_DOP20_1KM_UTM_40,5140,dop20rgb_32551_5940_1_hh_JAHR ,dop20c_32551_5940   ,"POLYGON ((9.770790584667743 53.60633593280534, 9.770954286813039 53.61532362275035, 9.786069488654476 53.6152253031049, 9.785902577789596 53.6062376452501, 9.770790584667743 53.60633593280534))"
APP_LGV_KACHEL_DOP20_1KM_UTM_41,5141,dop20rgb_32551_5941_1_hh_JAHR ,dop20c_32551_5941   ,"POLYGON ((9.770954286813039 53.61532362275035, 9.771118077438523 53.62431129876934, 9.786236489733334 53.62421294702009, 9.786069488654476 53.6152253031049, 9.770954286813039 53.61532362275035))"
APP_LGV_KACHEL_DOP20_1KM_UTM_42,5142,dop20rgb_32551_5942_1_hh_JAHR ,dop20c_32551_5942   ,"POLYGON ((9.771118077438523 53.62431129876934, 9.771281956608599 53.63329896086341, 9.786403581091832 53.63320057699676, 9.786236489733334 53.62421294702009, 9.771118077438523 53.62431129876934))"
APP_LGV_KACHEL_DOP20_1KM_UTM_43,5225,dop20rgb_32552_5925_1_hh_JAHR ,dop20c_32552_5925   ,"POLYGON ((9.78340969603923 53.47142110394454, 9.783575261530309 53.48040897102229, 9.798642424685571 53.48030923195033, 9.798473676395837 53.47132139737907, 9.78340969603923 53.47142110394454))"
APP_LGV_KACHEL_DOP20_1KM_UTM_44,5227,dop20rgb_32552_5927_1_hh_JAHR ,dop20c_32552_5927   ,"POLYGON ((9.783740916258141 53.48939682414434, 9.783906660287425 53.4983846633118, 9.798980194186091 53.49828485918582, 9.798811263927009 53.48929705255222, 9.783740916258141 53.48939682414434))"
APP_LGV_KACHEL_DOP20_1KM_UTM_45,5228,dop20rgb_32552_5928_1_hh_JAHR ,dop20c_32552_5928   ,"POLYGON ((9.783906660287425 53.4983846633118, 9.784072493682919 53.5073724885257, 9.799149215528827 53.50727265185211, 9.798980194186091 53.49828485918582, 9.783906660287425 53.4983846633118))"
APP_LGV_KACHEL_DOP20_1KM_UTM_46,5229,dop20rgb_32552_5929_1_hh_JAHR ,dop20c_32552_5929   ,"POLYGON ((9.784072493682919 53.5073724885257, 9.784238416509451 53.51636029978712, 9.799318328021279 53.51626043055222, 9.799149215528827 53.50727265185211, 9.784072493682919 53.5073724885257))"
APP_LGV_KACHEL_DOP20_1KM_UTM_47,5230,dop20rgb_32552_5930_1_hh_JAHR ,dop20c_32552_5930   ,"POLYGON ((9.784238416509451 53.51636029978712, 9.784404428831911 53.52534809709715, 9.799487531729595 53.52524819528716, 9.799318328021279 53.51626043055222, 9.784238416509451 53.51636029978712))"
APP_LGV_KACHEL_DOP20_1KM_UTM_48,5231,dop20rgb_32552_5931_1_hh_JAHR ,dop20c_32552_5931   ,"POLYGON ((9.784404428831911 53.52534809709715, 9.784570530715255 53.53433588045676, 9.799656826719968 53.534235946058, 9.799487531729595 53.52524819528716, 9.784404428831911 53.52534809709715))"
APP_LGV_KACHEL_DOP20_1KM_UTM_49,5232,dop20rgb_32552_5932_1_hh_JAHR ,dop20c_32552_5932   ,"POLYGON ((9.784570530715255 53.53433588045676, 9.784736722224503 53.54332364986715, 9.799826213058669 53.54322368286582, 9.799656826719968 53.534235946058, 9.784570530715255 53.53433588045676))"
APP_LGV_KACHEL_DOP20_1KM_UTM_50,5233,dop20rgb_32552_5933_1_hh_JAHR ,dop20c_32552_5933   ,"POLYGON ((9.784736722224503 53.54332364986715, 9.784903003424734 53.55231140532931, 9.799995690812036 53.55221140571165, 9.799826213058669 53.54322368286582, 9.784736722224503 53.54332364986715))"
APP_LGV_KACHEL_DOP20_1KM_UTM_51,5234,dop20rgb_32552_5934_1_hh_JAHR ,dop20c_32552_5934   ,"POLYGON ((9.784903003424734 53.55231140532931, 9.785069374381099 53.56129914684436, 9.800165260046464 53.56119911459657, 9.799995690812036 53.55221140571165, 9.784903003424734 53.55231140532931))"
APP_LGV_KACHEL_DOP20_1KM_UTM_52,5235,dop20rgb_32552_5935_1_hh_JAHR ,dop20c_32552_5935   ,"POLYGON ((9.785069374381099 53.56129914684436, 9.785235835158808 53.57028687441335, 9.800334920828417 53.57018680952162, 9.800165260046464 53.56119911459657, 9.785069374381099 53.56129914684436))"
APP_LGV_KACHEL_DOP20_1KM_UTM_53,5236,dop20rgb_32552_5936_1_hh_JAHR ,dop20c_32552_5936   ,"POLYGON ((9.785235835158808 53.57028687441335, 9.78540238582314 53.57927458803733, 9.800504673224424 53.57917449048791, 9.800334920828417 53.57018680952162, 9.785235835158808 53.57028687441335))"
APP_LGV_KACHEL_DOP20_1KM_UTM_54,5237,dop20rgb_32552_5937_1_hh_JAHR ,dop20c_32552_5937   ,"POLYGON ((9.78540238582314 53.57927458803733, 9.785569026439433 53.58826228771738, 9.80067451730109 53.58816215749647, 9.800504673224424 53.57917449048791, 9.78540238582314 53.57927458803733))"
APP_LGV_KACHEL_DOP20_1KM_UTM_55,5238,dop20rgb_32552_5938_1_hh_JAHR ,dop20c_32552_5938   ,"POLYGON ((9.785569026439433 53.58826228771738, 9.785735757073097 53.59724997345462, 9.800844453125066 53.59714981054835, 9.80067451730109 53.58816215749647, 9.785569026439433 53.58826228771738))"
APP_LGV_KACHEL_DOP20_1KM_UTM_56,5239,dop20rgb_32552_5939_1_hh_JAHR ,dop20c_32552_5939   ,"POLYGON ((9.785735757073097 53.59724997345462, 9.785902577789596 53.6062376452501, 9.80101448076309 53.60613744964464, 9.800844453125066 53.59714981054835, 9.785735757073097 53.59724997345462))"
APP_LGV_KACHEL_DOP20_1KM_UTM_57,5240,dop20rgb_32552_5940_1_hh_JAHR ,dop20c_32552_5940   ,"POLYGON ((9.785902577789596 53.6062376452501, 9.786069488654476 53.6152253031049, 9.80118460028195 53.61512507478643, 9.80101448076309 53.60613744964464, 9.785902577789596 53.6062376452501))"
APP_LGV_KACHEL_DOP20_1KM_UTM_58,5324,dop20rgb_32553_5924_1_hh_JAHR ,dop20c_32553_5924   ,"POLYGON ((9.798305018991929 53.46233354883734, 9.798473676395837 53.47132139737907, 9.81353756586663 53.47121979209953, 9.813365727443587 53.4622319766692, 9.798305018991929 53.46233354883734))"
APP_LGV_KACHEL_DOP20_1KM_UTM_59,5325,dop20rgb_32553_5925_1_hh_JAHR ,dop20c_32553_5925   ,"POLYGON ((9.798473676395837 53.47132139737907, 9.798642424685571 53.48030923195033, 9.813709496889141 53.48020759354544, 9.81353756586663 53.47121979209953, 9.798473676395837 53.47132139737907))"
APP_LGV_KACHEL_DOP20_1KM_UTM_60,5326,dop20rgb_32553_5926_1_hh_JAHR ,dop20c_32553_5926   ,"POLYGON ((9.798642424685571 53.48030923195033, 9.798811263927009 53.48929705255222, 9.813881520578244 53.48919538100809, 9.813709496889141 53.48020759354544, 9.798642424685571 53.48030923195033))"
APP_LGV_KACHEL_DOP20_1KM_UTM_61,5327,dop20rgb_32553_5927_1_hh_JAHR ,dop20c_32553_5927   ,"POLYGON ((9.798811263927009 53.48929705255222, 9.798980194186091 53.49828485918582, 9.814053637001118 53.49818315448839, 9.813881520578244 53.48919538100809, 9.798811263927009 53.48929705255222))"
